season,date_code,weekending,region,Respiratory_Virus,Number_Positive,Specimens_Tested,Percent_Positive
2012-2013,201312,03/23/13,Upper Southern,Total_Influenza,8,119,6.72
2012-2013,201312,03/23/13,Upper Southern,RSV,4,119,3.36
2012-2013,201312,03/23/13,Upper/Lower Southern,Influenza_A,14,269,5.20
2012-2013,201312,03/23/13,Upper/Lower Southern,Influenza_B,28,269,10.41
2012-2013,201312,03/23/13,Upper/Lower Southern,Total_Influenza,42,269,15.61
2012-2013,201312,03/23/13,Upper/Lower Southern,RSV,26,269,9.67
2012-2013,201313,03/30/13,Bay Area,Influenza_A,15,485,3.09
2012-2013,201313,03/30/13,Bay Area,Influenza_B,19,485,3.92
2012-2013,201313,03/30/13,Bay Area,Total_Influenza,34,485,7.01
2012-2013,201313,03/30/13,Bay Area,RSV,29,476,6.09
2012-2013,201313,03/30/13,California,Influenza_A,23,1001,2.30
2012-2013,201313,03/30/13,California,Influenza_B,50,1001,5.00
2012-2013,201313,03/30/13,California,Total_Influenza,73,1001,7.29
2012-2013,201313,03/30/13,California,RSV,62,890,6.97
2012-2013,201313,03/30/13,Central,Influenza_A,3,247,1.21
2012-2013,201313,03/30/13,Central,Influenza_B,16,247,6.48
2012-2013,201313,03/30/13,Central,Total_Influenza,19,247,7.69
2012-2013,201313,03/30/13,Central,RSV,15,176,8.52
2012-2013,201313,03/30/13,Lower Southern,Influenza_A,0,83,0.00
2012-2013,201313,03/30/13,Lower Southern,Influenza_B,0,83,0.00
2012-2013,201313,03/30/13,Lower Southern,Total_Influenza,0,83,0.00
2012-2013,201313,03/30/13,Lower Southern,RSV,10,52,19.23
2012-2013,201313,03/30/13,Northern,Influenza_A,5,81,6.17
2012-2013,201313,03/30/13,Northern,Influenza_B,12,81,14.81
2012-2013,201313,03/30/13,Northern,Total_Influenza,17,81,20.99
2012-2013,201313,03/30/13,Northern,RSV,6,81,7.41
2012-2013,201313,03/30/13,Upper Southern,Influenza_A,0,105,0.00
2012-2013,201313,03/30/13,Upper Southern,Influenza_B,3,105,2.86
2012-2013,201313,03/30/13,Upper Southern,Total_Influenza,3,105,2.86
2012-2013,201313,03/30/13,Upper Southern,RSV,2,105,1.90
2012-2013,201313,03/30/13,Upper/Lower Southern,Influenza_A,0,0,
2012-2013,201313,03/30/13,Upper/Lower Southern,Influenza_B,0,0,
2012-2013,201313,03/30/13,Upper/Lower Southern,Total_Influenza,0,0,
2012-2013,201313,03/30/13,Upper/Lower Southern,RSV,0,0,
2012-2013,201314,04/06/13,Bay Area,Influenza_A,3,459,0.65
2012-2013,201314,04/06/13,Bay Area,Influenza_B,17,459,3.70
2012-2013,201314,04/06/13,Bay Area,Total_Influenza,20,459,4.36
2012-2013,201314,04/06/13,Bay Area,RSV,32,454,7.05
2012-2013,201314,04/06/13,California,Influenza_A,11,1120,0.98
2012-2013,201314,04/06/13,California,Influenza_B,47,1120,4.20
2012-2013,201314,04/06/13,California,Total_Influenza,58,1120,5.18
2012-2013,201314,04/06/13,California,RSV,73,1071,6.82
2012-2013,201314,04/06/13,Central,Influenza_A,3,185,1.62
2012-2013,201314,04/06/13,Central,Influenza_B,8,185,4.32
2012-2013,201314,04/06/13,Central,Total_Influenza,11,185,5.95
2012-2013,201314,04/06/13,Central,RSV,17,167,10.18
2012-2013,201314,04/06/13,Lower Southern,Influenza_A,2,86,2.33
2012-2013,201314,04/06/13,Lower Southern,Influenza_B,2,86,2.33
2012-2013,201314,04/06/13,Lower Southern,Total_Influenza,4,86,4.65
2012-2013,201314,04/06/13,Lower Southern,RSV,7,60,11.67
2012-2013,201314,04/06/13,Northern,Influenza_A,0,44,0.00
2012-2013,201314,04/06/13,Northern,Influenza_B,7,44,15.91
2012-2013,201314,04/06/13,Northern,Total_Influenza,7,44,15.91
2012-2013,201314,04/06/13,Northern,RSV,6,44,13.64
2012-2013,201314,04/06/13,Upper Southern,Influenza_A,1,126,0.79
2012-2013,201314,04/06/13,Upper Southern,Influenza_B,2,126,1.59
2012-2013,201314,04/06/13,Upper Southern,Total_Influenza,3,126,2.38
2012-2013,201314,04/06/13,Upper Southern,RSV,1,126,0.79
2012-2013,201314,04/06/13,Upper/Lower Southern,Influenza_A,2,220,0.91
2012-2013,201314,04/06/13,Upper/Lower Southern,Influenza_B,11,220,5.00
2012-2013,201314,04/06/13,Upper/Lower Southern,Total_Influenza,13,220,5.91
2012-2013,201314,04/06/13,Upper/Lower Southern,RSV,10,220,4.55
2012-2013,201315,04/13/13,Bay Area,Influenza_A,6,365,1.64
2012-2013,201315,04/13/13,Bay Area,Influenza_B,14,365,3.84
2012-2013,201315,04/13/13,Bay Area,Total_Influenza,20,365,5.48
2012-2013,201315,04/13/13,Bay Area,RSV,23,365,6.30
2012-2013,201315,04/13/13,California,Influenza_A,8,683,1.17
2012-2013,201315,04/13/13,California,Influenza_B,23,683,3.37
2012-2013,201315,04/13/13,California,Total_Influenza,31,683,4.54
2012-2013,201315,04/13/13,California,RSV,35,655,5.34
2012-2013,201315,04/13/13,Central,Influenza_A,0,133,0.00
2012-2013,201315,04/13/13,Central,Influenza_B,3,133,2.26
2012-2013,201315,04/13/13,Central,Total_Influenza,3,133,2.26
2012-2013,201315,04/13/13,Central,RSV,4,123,3.25
2012-2013,201315,04/13/13,Lower Southern,Influenza_A,2,71,2.82
2012-2013,201315,04/13/13,Lower Southern,Influenza_B,1,71,1.41
2012-2013,201315,04/13/13,Lower Southern,Total_Influenza,3,71,4.23
2012-2013,201315,04/13/13,Lower Southern,RSV,8,53,15.09
2012-2013,201315,04/13/13,Northern,Influenza_A,0,30,0.00
2012-2013,201315,04/13/13,Northern,Influenza_B,3,30,10.00
2012-2013,201315,04/13/13,Northern,Total_Influenza,3,30,10.00
2012-2013,201315,04/13/13,Northern,RSV,0,30,0.00
2012-2013,201315,04/13/13,Upper Southern,Influenza_A,0,84,0.00
2012-2013,201315,04/13/13,Upper Southern,Influenza_B,2,84,2.38
2012-2013,201315,04/13/13,Upper Southern,Total_Influenza,2,84,2.38
2012-2013,201315,04/13/13,Upper Southern,RSV,0,84,0.00
2012-2013,201315,04/13/13,Upper/Lower Southern,Influenza_A,0,0,
2012-2013,201315,04/13/13,Upper/Lower Southern,Influenza_B,0,0,
2012-2013,201315,04/13/13,Upper/Lower Southern,Total_Influenza,0,0,
2012-2013,201315,04/13/13,Upper/Lower Southern,RSV,0,0,
2012-2013,201316,04/20/13,Bay Area,Influenza_A,1,208,0.48
2012-2013,201316,04/20/13,Bay Area,Influenza_B,9,208,4.33
2012-2013,201316,04/20/13,Bay Area,Total_Influenza,10,208,4.81
2012-2013,201316,04/20/13,Bay Area,RSV,5,206,2.43
2012-2013,201316,04/20/13,California,Influenza_A,5,482,1.04
2012-2013,201316,04/20/13,California,Influenza_B,20,482,4.15
2012-2013,201316,04/20/13,California,Total_Influenza,25,482,5.19
2012-2013,201316,04/20/13,California,RSV,19,456,4.17
2012-2013,201316,04/20/13,Central,Influenza_A,3,94,3.19
2012-2013,201316,04/20/13,Central,Influenza_B,4,94,4.26
2012-2013,201316,04/20/13,Central,Total_Influenza,7,94,7.45
2012-2013,201316,04/20/13,Central,RSV,7,90,7.78
2012-2013,201316,04/20/13,Lower Southern,Influenza_A,0,49,0.00
2012-2013,201316,04/20/13,Lower Southern,Influenza_B,3,49,6.12
2012-2013,201316,04/20/13,Lower Southern,Total_Influenza,3,49,6.12
2012-2013,201316,04/20/13,Lower Southern,RSV,3,29,10.34
2012-2013,201316,04/20/13,Northern,Influenza_A,0,35,0.00
2012-2013,201316,04/20/13,Northern,Influenza_B,3,35,8.57
2012-2013,201316,04/20/13,Northern,Total_Influenza,3,35,8.57
2012-2013,201316,04/20/13,Northern,RSV,3,35,8.57
2012-2013,201316,04/20/13,Upper Southern,Influenza_A,1,96,1.04
2012-2013,201316,04/20/13,Upper Southern,Influenza_B,1,96,1.04
2012-2013,201316,04/20/13,Upper Southern,Total_Influenza,2,96,2.08
2012-2013,201316,04/20/13,Upper Southern,RSV,1,96,1.04
2012-2013,201316,04/20/13,Upper/Lower Southern,Influenza_A,0,0,
2012-2013,201316,04/20/13,Upper/Lower Southern,Influenza_B,0,0,
2012-2013,201316,04/20/13,Upper/Lower Southern,Total_Influenza,0,0,
2012-2013,201316,04/20/13,Upper/Lower Southern,RSV,0,0,
2012-2013,201317,04/27/13,Bay Area,Influenza_A,2,229,0.87
2012-2013,201317,04/27/13,Bay Area,Influenza_B,6,229,2.62
2012-2013,201317,04/27/13,Bay Area,Total_Influenza,8,229,3.49
2012-2013,201317,04/27/13,Bay Area,RSV,5,225,2.22
2012-2013,201317,04/27/13,California,Influenza_A,3,487,0.62
2012-2013,201317,04/27/13,California,Influenza_B,7,487,1.44
2012-2013,201317,04/27/13,California,Total_Influenza,10,487,2.05
2012-2013,201317,04/27/13,California,RSV,9,468,1.92
2012-2013,201317,04/27/13,Central,Influenza_A,1,109,0.92
2012-2013,201317,04/27/13,Central,Influenza_B,0,109,0.00
2012-2013,201317,04/27/13,Central,Total_Influenza,1,109,0.92
2012-2013,201317,04/27/13,Central,RSV,2,105,1.90
2012-2013,201317,04/27/13,Lower Southern,Influenza_A,0,38,0.00
2012-2013,201317,04/27/13,Lower Southern,Influenza_B,1,38,2.63
2012-2013,201317,04/27/13,Lower Southern,Total_Influenza,1,38,2.63
2012-2013,201317,04/27/13,Lower Southern,RSV,0,27,0.00
2012-2013,201317,04/27/13,Northern,Influenza_A,0,21,0.00
2012-2013,201317,04/27/13,Northern,Influenza_B,0,21,0.00
2012-2013,201317,04/27/13,Northern,Total_Influenza,0,21,0.00
2012-2013,201317,04/27/13,Northern,RSV,2,21,9.52
2012-2013,201317,04/27/13,Upper Southern,Influenza_A,0,90,0.00
2012-2013,201317,04/27/13,Upper Southern,Influenza_B,0,90,0.00
2012-2013,201317,04/27/13,Upper Southern,Total_Influenza,0,90,0.00
2012-2013,201317,04/27/13,Upper Southern,RSV,0,90,0.00
2012-2013,201317,04/27/13,Upper/Lower Southern,Influenza_A,0,0,
2012-2013,201317,04/27/13,Upper/Lower Southern,Influenza_B,0,0,
2012-2013,201317,04/27/13,Upper/Lower Southern,Total_Influenza,0,0,
2012-2013,201317,04/27/13,Upper/Lower Southern,RSV,0,0,
2012-2013,201318,05/04/13,Bay Area,Influenza_A,0,233,0.00
2012-2013,201318,05/04/13,Bay Area,Influenza_B,5,233,2.15
2012-2013,201318,05/04/13,Bay Area,Total_Influenza,5,233,2.15
2012-2013,201318,05/04/13,Bay Area,RSV,3,231,1.30
2012-2013,201318,05/04/13,California,Influenza_A,0,471,0.00
2012-2013,201318,05/04/13,California,Influenza_B,8,471,1.70
2012-2013,201318,05/04/13,California,Total_Influenza,8,471,1.70
2012-2013,201318,05/04/13,California,RSV,9,455,1.98
2012-2013,201318,05/04/13,Central,Influenza_A,0,83,0.00
2012-2013,201318,05/04/13,Central,Influenza_B,2,83,2.41
2012-2013,201318,05/04/13,Central,Total_Influenza,2,83,2.41
2012-2013,201318,05/04/13,Central,RSV,2,79,2.53
2012-2013,201318,05/04/13,Lower Southern,Influenza_A,0,45,0.00
2012-2013,201318,05/04/13,Lower Southern,Influenza_B,0,45,0.00
2012-2013,201318,05/04/13,Lower Southern,Total_Influenza,0,45,0.00
2012-2013,201318,05/04/13,Lower Southern,RSV,0,35,0.00
2012-2013,201318,05/04/13,Northern,Influenza_A,0,17,0.00
2012-2013,201318,05/04/13,Northern,Influenza_B,0,17,0.00
2012-2013,201318,05/04/13,Northern,Total_Influenza,0,17,0.00
2012-2013,201318,05/04/13,Northern,RSV,1,17,5.88
2012-2013,201318,05/04/13,Upper Southern,Influenza_A,0,93,0.00
2012-2013,201318,05/04/13,Upper Southern,Influenza_B,1,93,1.08
2012-2013,201318,05/04/13,Upper Southern,Total_Influenza,1,93,1.08
2012-2013,201318,05/04/13,Upper Southern,RSV,3,93,3.23
2012-2013,201318,05/04/13,Upper/Lower Southern,Influenza_A,0,0,
2012-2013,201318,05/04/13,Upper/Lower Southern,Influenza_B,0,0,
2012-2013,201318,05/04/13,Upper/Lower Southern,Total_Influenza,0,0,
2012-2013,201318,05/04/13,Upper/Lower Southern,RSV,0,0,
2012-2013,201319,05/11/13,Bay Area,Influenza_A,1,146,0.68
2012-2013,201319,05/11/13,Bay Area,Influenza_B,2,146,1.37
2012-2013,201319,05/11/13,Bay Area,Total_Influenza,3,146,2.05
2012-2013,201319,05/11/13,Bay Area,RSV,0,144,0.00
2012-2013,201319,05/11/13,California,Influenza_A,1,335,0.30
2012-2013,201319,05/11/13,California,Influenza_B,4,335,1.19
2012-2013,201319,05/11/13,California,Total_Influenza,5,335,1.49
2012-2013,201319,05/11/13,California,RSV,2,328,0.61
2012-2013,201319,05/11/13,Central,Influenza_A,0,97,0.00
2012-2013,201319,05/11/13,Central,Influenza_B,1,97,1.03
2012-2013,201319,05/11/13,Central,Total_Influenza,1,97,1.03
2012-2013,201319,05/11/13,Central,RSV,1,96,1.04
2012-2013,201319,05/11/13,Lower Southern,Influenza_A,0,4,0.00
2012-2013,201319,05/11/13,Lower Southern,Influenza_B,0,4,0.00
2012-2013,201319,05/11/13,Lower Southern,Total_Influenza,0,4,0.00
2012-2013,201319,05/11/13,Lower Southern,RSV,0,0,
2012-2013,201319,05/11/13,Northern,Influenza_A,0,10,0.00
2012-2013,201319,05/11/13,Northern,Influenza_B,0,10,0.00
2012-2013,201319,05/11/13,Northern,Total_Influenza,0,10,0.00
2012-2013,201319,05/11/13,Northern,RSV,0,10,0.00
2012-2013,201319,05/11/13,Upper Southern,Influenza_A,0,78,0.00
2012-2013,201319,05/11/13,Upper Southern,Influenza_B,1,78,1.28
2012-2013,201319,05/11/13,Upper Southern,Total_Influenza,1,78,1.28
2012-2013,201319,05/11/13,Upper Southern,RSV,1,78,1.28
2012-2013,201319,05/11/13,Upper/Lower Southern,Influenza_A,0,0,
2012-2013,201319,05/11/13,Upper/Lower Southern,Influenza_B,0,0,
2012-2013,201319,05/11/13,Upper/Lower Southern,Total_Influenza,0,0,
2012-2013,201319,05/11/13,Upper/Lower Southern,RSV,0,0,
2012-2013,201320,05/18/13,Bay Area,Influenza_A,1,136,0.74
2012-2013,201320,05/18/13,Bay Area,Influenza_B,1,136,0.74
2012-2013,201320,05/18/13,Bay Area,Total_Influenza,2,136,1.47
2012-2013,201320,05/18/13,Bay Area,RSV,0,134,0.00
2012-2013,201320,05/18/13,California,Influenza_A,1,303,0.33
2012-2013,201320,05/18/13,California,Influenza_B,1,303,0.33
2012-2013,201320,05/18/13,California,Total_Influenza,2,303,0.66
2012-2013,201320,05/18/13,California,RSV,1,298,0.34
2012-2013,201320,05/18/13,Central,Influenza_A,0,90,0.00
2012-2013,201320,05/18/13,Central,Influenza_B,0,90,0.00
2012-2013,201320,05/18/13,Central,Total_Influenza,0,90,0.00
2012-2013,201320,05/18/13,Central,RSV,0,90,0.00
2012-2013,201320,05/18/13,Lower Southern,Influenza_A,0,3,0.00
2012-2013,201320,05/18/13,Lower Southern,Influenza_B,0,3,0.00
2012-2013,201320,05/18/13,Lower Southern,Total_Influenza,0,3,0.00
2012-2013,201320,05/18/13,Lower Southern,RSV,0,0,
2012-2013,201320,05/18/13,Northern,Influenza_A,0,0,
2012-2013,201320,05/18/13,Northern,Influenza_B,0,0,
2012-2013,201320,05/18/13,Northern,Total_Influenza,0,0,
2012-2013,201320,05/18/13,Northern,RSV,0,0,
2012-2013,201320,05/18/13,Upper Southern,Influenza_A,0,74,0.00
2012-2013,201320,05/18/13,Upper Southern,Influenza_B,0,74,0.00
2012-2013,201320,05/18/13,Upper Southern,Total_Influenza,0,74,0.00
2012-2013,201320,05/18/13,Upper Southern,RSV,1,74,1.35
2012-2013,201320,05/18/13,Upper/Lower Southern,Influenza_A,0,0,
2012-2013,201320,05/18/13,Upper/Lower Southern,Influenza_B,0,0,
2012-2013,201320,05/18/13,Upper/Lower Southern,Total_Influenza,0,0,
2012-2013,201320,05/18/13,Upper/Lower Southern,RSV,0,0,
2012-2013,201321,05/25/13,Bay Area,Influenza_A,0,131,0.00
2012-2013,201321,05/25/13,Bay Area,Influenza_B,0,131,0.00
2012-2013,201321,05/25/13,Bay Area,Total_Influenza,0,131,0.00
2012-2013,201321,05/25/13,Bay Area,RSV,0,129,0.00
2012-2013,201321,05/25/13,California,Influenza_A,1,273,0.37
2012-2013,201321,05/25/13,California,Influenza_B,0,273,0.00
2012-2013,201321,05/25/13,California,Total_Influenza,1,273,0.37
2012-2013,201321,05/25/13,California,RSV,0,264,0.00
2012-2013,201321,05/25/13,Central,Influenza_A,0,74,0.00
2012-2013,201321,05/25/13,Central,Influenza_B,0,74,0.00
2012-2013,201321,05/25/13,Central,Total_Influenza,0,74,0.00
2012-2013,201321,05/25/13,Central,RSV,0,71,0.00
2012-2013,201321,05/25/13,Lower Southern,Influenza_A,0,4,0.00
2012-2013,201321,05/25/13,Lower Southern,Influenza_B,0,4,0.00
2012-2013,201321,05/25/13,Lower Southern,Total_Influenza,0,4,0.00
2012-2013,201321,05/25/13,Lower Southern,RSV,0,0,
2012-2013,201321,05/25/13,Northern,Influenza_A,0,0,
2012-2013,201321,05/25/13,Northern,Influenza_B,0,0,
2012-2013,201321,05/25/13,Northern,Total_Influenza,0,0,
2012-2013,201321,05/25/13,Northern,RSV,0,0,
2012-2013,201321,05/25/13,Upper Southern,Influenza_A,1,64,1.56
2012-2013,201321,05/25/13,Upper Southern,Influenza_B,0,64,0.00
2012-2013,201321,05/25/13,Upper Southern,Total_Influenza,1,64,1.56
2012-2013,201321,05/25/13,Upper Southern,RSV,0,64,0.00
2012-2013,201321,05/25/13,Upper/Lower Southern,Influenza_A,0,0,
2012-2013,201321,05/25/13,Upper/Lower Southern,Influenza_B,0,0,
2012-2013,201321,05/25/13,Upper/Lower Southern,Total_Influenza,0,0,
2012-2013,201321,05/25/13,Upper/Lower Southern,RSV,0,0,
2012-2013,201322,06/01/13,Bay Area,Influenza_A,1,127,0.79
2012-2013,201322,06/01/13,Bay Area,Influenza_B,0,127,0.00
2012-2013,201322,06/01/13,Bay Area,Total_Influenza,1,127,0.79
2012-2013,201322,06/01/13,Bay Area,RSV,1,124,0.81
2012-2013,201322,06/01/13,California,Influenza_A,1,264,0.38
2012-2013,201322,06/01/13,California,Influenza_B,0,264,0.00
2012-2013,201322,06/01/13,California,Total_Influenza,1,264,0.38
2012-2013,201322,06/01/13,California,RSV,1,254,0.39
2012-2013,201322,06/01/13,Central,Influenza_A,0,68,0.00
2012-2013,201322,06/01/13,Central,Influenza_B,0,68,0.00
2012-2013,201322,06/01/13,Central,Total_Influenza,0,68,0.00
2012-2013,201322,06/01/13,Central,RSV,0,65,0.00
2012-2013,201322,06/01/13,Lower Southern,Influenza_A,0,4,0.00
2012-2013,201322,06/01/13,Lower Southern,Influenza_B,0,4,0.00
2012-2013,201322,06/01/13,Lower Southern,Total_Influenza,0,4,0.00
2012-2013,201322,06/01/13,Lower Southern,RSV,0,0,
2012-2013,201322,06/01/13,Northern,Influenza_A,0,0,
2012-2013,201322,06/01/13,Northern,Influenza_B,0,0,
2012-2013,201322,06/01/13,Northern,Total_Influenza,0,0,
2012-2013,201322,06/01/13,Northern,RSV,0,0,
2012-2013,201322,06/01/13,Upper Southern,Influenza_A,0,65,0.00
2012-2013,201322,06/01/13,Upper Southern,Influenza_B,0,65,0.00
2012-2013,201322,06/01/13,Upper Southern,Total_Influenza,0,65,0.00
2012-2013,201322,06/01/13,Upper Southern,RSV,0,65,0.00
2012-2013,201322,06/01/13,Upper/Lower Southern,Influenza_A,0,0,
2012-2013,201322,06/01/13,Upper/Lower Southern,Influenza_B,0,0,
2012-2013,201322,06/01/13,Upper/Lower Southern,Total_Influenza,0,0,
2012-2013,201322,06/01/13,Upper/Lower Southern,RSV,0,0,
2012-2013,201323,06/08/13,Bay Area,Influenza_A,0,130,0.00
2012-2013,201323,06/08/13,Bay Area,Influenza_B,0,130,0.00
2012-2013,201323,06/08/13,Bay Area,Total_Influenza,0,130,0.00
2012-2013,201323,06/08/13,Bay Area,RSV,0,129,0.00
2012-2013,201323,06/08/13,California,Influenza_A,0,274,0.00
2012-2013,201323,06/08/13,California,Influenza_B,0,274,0.00
2012-2013,201323,06/08/13,California,Total_Influenza,0,274,0.00
2012-2013,201323,06/08/13,California,RSV,0,271,0.00
2012-2013,201323,06/08/13,Central,Influenza_A,0,69,0.00
2012-2013,201323,06/08/13,Central,Influenza_B,0,69,0.00
2012-2013,201323,06/08/13,Central,Total_Influenza,0,69,0.00
2012-2013,201323,06/08/13,Central,RSV,0,68,0.00
2012-2013,201323,06/08/13,Lower Southern,Influenza_A,0,1,0.00
2012-2013,201323,06/08/13,Lower Southern,Influenza_B,0,1,0.00
2012-2013,201323,06/08/13,Lower Southern,Total_Influenza,0,1,0.00
2012-2013,201323,06/08/13,Lower Southern,RSV,0,0,
2012-2013,201323,06/08/13,Northern,Influenza_A,0,0,
2012-2013,201323,06/08/13,Northern,Influenza_B,0,0,
2012-2013,201323,06/08/13,Northern,Total_Influenza,0,0,
2012-2013,201323,06/08/13,Northern,RSV,0,0,
2012-2013,201323,06/08/13,Upper Southern,Influenza_A,0,74,0.00
2012-2013,201323,06/08/13,Upper Southern,Influenza_B,0,74,0.00
2012-2013,201323,06/08/13,Upper Southern,Total_Influenza,0,74,0.00
2012-2013,201323,06/08/13,Upper Southern,RSV,0,74,0.00
2012-2013,201323,06/08/13,Upper/Lower Southern,Influenza_A,0,0,
2012-2013,201323,06/08/13,Upper/Lower Southern,Influenza_B,0,0,
2012-2013,201323,06/08/13,Upper/Lower Southern,Total_Influenza,0,0,
2012-2013,201323,06/08/13,Upper/Lower Southern,RSV,0,0,
2012-2013,201324,06/15/13,Bay Area,Influenza_A,0,117,0.00
2012-2013,201324,06/15/13,Bay Area,Influenza_B,0,117,0.00
2012-2013,201324,06/15/13,Bay Area,Total_Influenza,0,117,0.00
2012-2013,201324,06/15/13,Bay Area,RSV,1,118,0.85
2012-2013,201324,06/15/13,California,Influenza_A,0,268,0.00
2012-2013,201324,06/15/13,California,Influenza_B,0,268,0.00
2012-2013,201324,06/15/13,California,Total_Influenza,0,268,0.00
2012-2013,201324,06/15/13,California,RSV,1,267,0.37
2012-2013,201324,06/15/13,Central,Influenza_A,0,77,0.00
2012-2013,201324,06/15/13,Central,Influenza_B,0,77,0.00
2012-2013,201324,06/15/13,Central,Total_Influenza,0,77,0.00
2012-2013,201324,06/15/13,Central,RSV,0,76,0.00
2012-2013,201324,06/15/13,Lower Southern,Influenza_A,0,1,0.00
2012-2013,201324,06/15/13,Lower Southern,Influenza_B,0,1,0.00
2012-2013,201324,06/15/13,Lower Southern,Total_Influenza,0,1,0.00
2012-2013,201324,06/15/13,Lower Southern,RSV,0,0,
2012-2013,201324,06/15/13,Northern,Influenza_A,0,0,
2012-2013,201324,06/15/13,Northern,Influenza_B,0,0,
2012-2013,201324,06/15/13,Northern,Total_Influenza,0,0,
2012-2013,201324,06/15/13,Northern,RSV,0,0,
2012-2013,201324,06/15/13,Upper Southern,Influenza_A,0,73,0.00
2012-2013,201324,06/15/13,Upper Southern,Influenza_B,0,73,0.00
2012-2013,201324,06/15/13,Upper Southern,Total_Influenza,0,73,0.00
2012-2013,201324,06/15/13,Upper Southern,RSV,0,73,0.00
2012-2013,201324,06/15/13,Upper/Lower Southern,Influenza_A,0,0,
2012-2013,201324,06/15/13,Upper/Lower Southern,Influenza_B,0,0,
2012-2013,201324,06/15/13,Upper/Lower Southern,Total_Influenza,0,0,
2012-2013,201324,06/15/13,Upper/Lower Southern,RSV,0,0,
2012-2013,201325,06/22/13,Bay Area,Influenza_A,0,125,0.00
2012-2013,201325,06/22/13,Bay Area,Influenza_B,0,125,0.00
2012-2013,201325,06/22/13,Bay Area,Total_Influenza,0,125,0.00
2012-2013,201325,06/22/13,Bay Area,RSV,0,125,0.00
2012-2013,201325,06/22/13,California,Influenza_A,0,272,0.00
2012-2013,201325,06/22/13,California,Influenza_B,0,272,0.00
2012-2013,201325,06/22/13,California,Total_Influenza,0,272,0.00
2012-2013,201325,06/22/13,California,RSV,0,268,0.00
2012-2013,201325,06/22/13,Central,Influenza_A,0,71,0.00
2012-2013,201325,06/22/13,Central,Influenza_B,0,71,0.00
2012-2013,201325,06/22/13,Central,Total_Influenza,0,71,0.00
2012-2013,201325,06/22/13,Central,RSV,0,69,0.00
2012-2013,201325,06/22/13,Lower Southern,Influenza_A,0,2,0.00
2012-2013,201325,06/22/13,Lower Southern,Influenza_B,0,2,0.00
2012-2013,201325,06/22/13,Lower Southern,Total_Influenza,0,2,0.00
2012-2013,201325,06/22/13,Lower Southern,RSV,0,0,
2012-2013,201325,06/22/13,Northern,Influenza_A,0,0,
2012-2013,201325,06/22/13,Northern,Influenza_B,0,0,
2012-2013,201325,06/22/13,Northern,Total_Influenza,0,0,
2012-2013,201325,06/22/13,Northern,RSV,0,0,
2012-2013,201325,06/22/13,Upper Southern,Influenza_A,0,74,0.00
2012-2013,201325,06/22/13,Upper Southern,Influenza_B,0,74,0.00
2012-2013,201325,06/22/13,Upper Southern,Total_Influenza,0,74,0.00
2012-2013,201325,06/22/13,Upper Southern,RSV,0,74,0.00
2012-2013,201325,06/22/13,Upper/Lower Southern,Influenza_A,0,0,
2012-2013,201325,06/22/13,Upper/Lower Southern,Influenza_B,0,0,
2012-2013,201325,06/22/13,Upper/Lower Southern,Total_Influenza,0,0,
2012-2013,201325,06/22/13,Upper/Lower Southern,RSV,0,0,
2012-2013,201326,06/29/13,Bay Area,Influenza_A,0,124,0.00
2012-2013,201326,06/29/13,Bay Area,Influenza_B,0,124,0.00
2012-2013,201326,06/29/13,Bay Area,Total_Influenza,0,124,0.00
2012-2013,201326,06/29/13,Bay Area,RSV,1,123,0.81
2012-2013,201326,06/29/13,California,Influenza_A,0,229,0.00
2012-2013,201326,06/29/13,California,Influenza_B,0,229,0.00
2012-2013,201326,06/29/13,California,Total_Influenza,0,229,0.00
2012-2013,201326,06/29/13,California,RSV,1,227,0.44
2012-2013,201326,06/29/13,Central,Influenza_A,0,58,0.00
2012-2013,201326,06/29/13,Central,Influenza_B,0,58,0.00
2012-2013,201326,06/29/13,Central,Total_Influenza,0,58,0.00
2012-2013,201326,06/29/13,Central,RSV,0,57,0.00
2012-2013,201326,06/29/13,Lower Southern,Influenza_A,0,0,
2012-2013,201326,06/29/13,Lower Southern,Influenza_B,0,0,
2012-2013,201326,06/29/13,Lower Southern,Total_Influenza,0,0,
2012-2013,201326,06/29/13,Lower Southern,RSV,0,0,
2012-2013,201326,06/29/13,Northern,Influenza_A,0,0,
2012-2013,201326,06/29/13,Northern,Influenza_B,0,0,
2012-2013,201326,06/29/13,Northern,Total_Influenza,0,0,
2012-2013,201326,06/29/13,Northern,RSV,0,0,
2012-2013,201326,06/29/13,Upper Southern,Influenza_A,0,47,0.00
2012-2013,201326,06/29/13,Upper Southern,Influenza_B,0,47,0.00
2012-2013,201326,06/29/13,Upper Southern,Total_Influenza,0,47,0.00
2012-2013,201326,06/29/13,Upper Southern,RSV,0,47,0.00
2012-2013,201326,06/29/13,Upper/Lower Southern,Influenza_A,0,0,
2012-2013,201326,06/29/13,Upper/Lower Southern,Influenza_B,0,0,
2012-2013,201326,06/29/13,Upper/Lower Southern,Total_Influenza,0,0,
2012-2013,201326,06/29/13,Upper/Lower Southern,RSV,0,0,
2012-2013,201327,07/06/13,Bay Area,Influenza_A,0,95,0.00
2012-2013,201327,07/06/13,Bay Area,Influenza_B,1,95,1.05
2012-2013,201327,07/06/13,Bay Area,Total_Influenza,1,95,1.05
2012-2013,201327,07/06/13,Bay Area,RSV,2,95,2.11
2012-2013,201327,07/06/13,California,Influenza_A,0,205,0.00
